Contenu,Titre de la vidéo,Heure de publication de la vidéo,Clics sur des éléments d'écran de fin,Vues provenant de la playlist,Durée de visionnage de la playlist (heures),Commentaires ajoutés,Partages,Je n'aime pas,J'aime,"% ""J'aime"" (%)",Nombre d'abonnés perdus,Pourcentage moyen de vidéo regardé (%),Durée moyenne d'une vue,Vues,Durée de visionnage (heures),Abonnés,Impressions,Taux de clics par impression (%)
lT1og7xUqI0,Rust les bases,"Feb 22, 2024",0,7,0.1571,5,3,0,16,100,0,9.97,0:03:01,218,11.017,0,4084,2.5
lgq5k-CdtAw,La programmation expliquée à mon chat partie 3,"Aug 3, 2023",0,1,0.0255,0,0,0,2,100,0,11.02,0:01:26,22,0.5279,0,1786,0.78
mLJ9WKXaoSo,Découvrez notre chaîne de Coding & Stats: Présentation 2023,"Mar 2, 2023",0,1,0.0507,1,0,0,7,100,0,30.61,0:03:13,65,3.4876,1,3045,1.54
nTs1tRR6u40,Les fondamentaux en python 4: les listes: exercices,"Nov 16, 2022",0,2,0.0079,1,0,1,0,0,0,23.61,0:02:40,27,1.2025,0,1362,1.25
o3eGx-dFIAk,Analyser ses conversations WhatsApp avec R partie 1,"Aug 10, 2023",0,6,0.1274,1,1,0,6,100,0,12.43,0:03:42,140,8.6399,2,2390,3.77
oRjSldmZCAg,Les fondamentaux en python 1: Mise en place de l'environnement d'entraînement,"Oct 19, 2022",0,64,1.1985,2,1,0,3,100,0,16.22,0:02:07,115,4.0632,1,1299,2.85
qZsthPwgFAw,HEP - 3. Web scraper (2),"Feb 18, 2022",0,3,0.4208,0,1,0,1,100,0,20.53,0:02:56,29,1.4254,0,540,3.33
qeQRjBw6kP0,La rédaction universelle avec markdown partie 3,"Sep 21, 2023",0,3,0.1567,0,0,0,2,100,0,17.46,0:04:43,64,5.0422,1,3597,1.11
rNxXRVa6a1g,Discussion AI - Merci pour les 800 abonnements,"Jan 14, 2024",0,2,0.0182,0,0,0,6,100,0,9.07,0:04:05,111,7.5807,0,6200,1.18
rPHllI_Zy2s,Lancer du code dans R,"Oct 7, 2022",0,,,0,1,0,6,100,0,117.49,0:01:10,167,3.2702,2,2593,4.97
rXXwMasKuQ4,Introduction au Web scraping avec R partie 3,"Jul 6, 2023",0,13,0.914,1,1,0,5,100,0,11.92,0:03:39,89,5.4339,0,2508,2.27
rqGHYlVy5d8,Vous avez dit sans souris? partie 1,"Nov 9, 2023",0,10,0.689,1,1,0,8,100,1,15.04,0:03:43,159,9.8718,3,3181,3.49
sMrIdLk6pg0,Les fondamentaux en python 6: chaînes de caractère exercices,"Dec 1, 2022",0,1,0.1216,0,0,0,2,100,0,24.97,0:03:53,26,1.6878,0,1953,0.87
sZwai8BqHu8,Base Vim 2:  installation + vimtutor + concetps,"Jan 19, 2023",0,23,2.6284,2,0,0,3,100,0,16.57,0:03:19,84,4.6542,1,1959,2.55
tPEWEb1LO8s,Rust: installation,"May 4, 2023",0,27,0.334,2,2,0,5,100,0,14.37,0:01:31,121,3.0665,0,3493,1.46
uXv2yug5YX8,Terminal 4: Commandes de donnee,"May 18, 2022",0,20,2.1548,0,0,0,1,100,0,23.66,0:05:09,39,3.3508,0,680,3.68
uZqOQf8cyxo,Le meilleur des langages de programmation,"Jun 2, 2023",0,,,1,0,1,4,80,0,50.29,0:00:30,48,0.4034,0,840,2.38
us_pnUsuSsg,Design Patterns - Intro & Singleton,"Feb 18, 2023",0,5,0.1788,0,0,0,9,100,0,35.02,0:02:07,64,2.259,6,2950,1.42
ySOWPRdm304,Actu: Rstudio devient Posit,"Aug 18, 2022",0,5,0.0402,0,1,0,1,100,0,49.73,0:00:26,34,0.2536,1,823,1.58
zBe-2bSsqlU,"Mojo, un Python en mieux?","May 5, 2023",0,,,0,0,0,2,100,0,41.71,0:00:39,64,0.7044,0,2227,1.44
zId3jam_DQw,Introduction au Web scraping avec R partie 2,"Jun 29, 2023",0,18,2.255,1,1,0,6,100,0,14.15,0:04:26,126,9.3233,1,2873,2.75
zemyZ_IXcPs,Dart vs un vrai ignorant,"Nov 2, 2023",0,,,3,0,0,10,100,0,19.13,0:02:24,121,4.8423,3,6209,1.53
